job_title,job_description,required_skills
Penetration Tester 4,Test applications and systems for vulnerabilities.,"Kali Linux, Metasploit, Burp Suite, Python, Web Security, Ethical Hacking"
Software Engineer - Backend 5,"Develop scalable backend systems, APIs, and databases.","Python, Java, SQL, REST APIs, AWS, Docker, Kubernetes"
Software Engineer - Frontend 5,Build user interfaces with modern frameworks.,"JavaScript, React, HTML, CSS, Redux, Webpack, UI/UX"
Full Stack Developer 5,Develop and maintain both frontend and backend systems.,"JavaScript, Node.js, React, SQL, REST APIs, Git, AWS"
Machine Learning Engineer 5,Build and deploy ML models for production systems.,"Python, TensorFlow, PyTorch, Machine Learning, Data Preprocessing, AWS, APIs"
Data Scientist 5,Analyze data and build predictive models.,"Python, Pandas, Scikit-learn, Statistics, SQL, Data Visualization, ML"
AI Researcher 5,Research and prototype new AI techniques.,"Deep Learning, Python, PyTorch, NLP, Reinforcement Learning, TensorFlow"
Cloud Engineer 5,Design and deploy cloud infrastructure.,"AWS, Terraform, Linux, Docker, Kubernetes, Networking, CI/CD"
DevOps Engineer 5,Automate deployments and maintain CI/CD pipelines.,"Jenkins, GitHub Actions, Docker, Kubernetes, Linux, AWS, Terraform"
Cybersecurity Analyst 5,Monitor and defend systems from cyber threats.,"Network Security, Firewalls, SIEM, Python, Linux, Threat Detection"
Penetration Tester 5,Test applications and systems for vulnerabilities.,"Kali Linux, Metasploit, Burp Suite, Python, Web Security, Ethical Hacking"
Software Engineer - Backend 6,"Develop scalable backend systems, APIs, and databases.","Python, Java, SQL, REST APIs, AWS, Docker, Kubernetes"
Software Engineer - Frontend 6,Build user interfaces with modern frameworks.,"JavaScript, React, HTML, CSS, Redux, Webpack, UI/UX"
Full Stack Developer 6,Develop and maintain both frontend and backend systems.,"JavaScript, Node.js, React, SQL, REST APIs, Git, AWS"
Machine Learning Engineer 6,Build and deploy ML models for production systems.,"Python, TensorFlow, PyTorch, Machine Learning, Data Preprocessing, AWS, APIs"
Data Scientist 6,Analyze data and build predictive models.,"Python, Pandas, Scikit-learn, Statistics, SQL, Data Visualization, ML"
AI Researcher 6,Research and prototype new AI techniques.,"Deep Learning, Python, PyTorch, NLP, Reinforcement Learning, TensorFlow"
Cloud Engineer 6,Design and deploy cloud infrastructure.,"AWS, Terraform, Linux, Docker, Kubernetes, Networking, CI/CD"
DevOps Engineer 6,Automate deployments and maintain CI/CD pipelines.,"Jenkins, GitHub Actions, Docker, Kubernetes, Linux, AWS, Terraform"
Cybersecurity Analyst 6,Monitor and defend systems from cyber threats.,"Network Security, Firewalls, SIEM, Python, Linux, Threat Detection"
Penetration Tester 6,Test applications and systems for vulnerabilities.,"Kali Linux, Metasploit, Burp Suite, Python, Web Security, Ethical Hacking"
Software Engineer - Backend 7,"Develop scalable backend systems, APIs, and databases.","Python, Java, SQL, REST APIs, AWS, Docker, Kubernetes"
Software Engineer - Frontend 7,Build user interfaces with modern frameworks.,"JavaScript, React, HTML, CSS, Redux, Webpack, UI/UX"
Full Stack Developer 7,Develop and maintain both frontend and backend systems.,"JavaScript, Node.js, React, SQL, REST APIs, Git, AWS"
Machine Learning Engineer 7,Build and deploy ML models for production systems.,"Python, TensorFlow, PyTorch, Machine Learning, Data Preprocessing, AWS, APIs"
Data Scientist 7,Analyze data and build predictive models.,"Python, Pandas, Scikit-learn, Statistics, SQL, Data Visualization, ML"
AI Researcher 7,Research and prototype new AI techniques.,"Deep Learning, Python, PyTorch, NLP, Reinforcement Learning, TensorFlow"
Cloud Engineer 7,Design and deploy cloud infrastructure.,"AWS, Terraform, Linux, Docker, Kubernetes, Networking, CI/CD"
DevOps Engineer 7,Automate deployments and maintain CI/CD pipelines.,"Jenkins, GitHub Actions, Docker, Kubernetes, Linux, AWS, Terraform"
Cybersecurity Analyst 7,Monitor and defend systems from cyber threats.,"Network Security, Firewalls, SIEM, Python, Linux, Threat Detection"
Penetration Tester 7,Test applications and systems for vulnerabilities.,"Kali Linux, Metasploit, Burp Suite, Python, Web Security, Ethical Hacking"
Software Engineer - Backend 8,"Develop scalable backend systems, APIs, and databases.","Python, Java, SQL, REST APIs, AWS, Docker, Kubernetes"
Software Engineer - Frontend 8,Build user interfaces with modern frameworks.,"JavaScript, React, HTML, CSS, Redux, Webpack, UI/UX"
Full Stack Developer 8,Develop and maintain both frontend and backend systems.,"JavaScript, Node.js, React, SQL, REST APIs, Git, AWS"
Machine Learning Engineer 8,Build and deploy ML models for production systems.,"Python, TensorFlow, PyTorch, Machine Learning, Data Preprocessing, AWS, APIs"
Data Scientist 8,Analyze data and build predictive models.,"Python, Pandas, Scikit-learn, Statistics, SQL, Data Visualization, ML"
AI Researcher 8,Research and prototype new AI techniques.,"Deep Learning, Python, PyTorch, NLP, Reinforcement Learning, TensorFlow"
Cloud Engineer 8,Design and deploy cloud infrastructure.,"AWS, Terraform, Linux, Docker, Kubernetes, Networking, CI/CD"
DevOps Engineer 8,Automate deployments and maintain CI/CD pipelines.,"Jenkins, GitHub Actions, Docker, Kubernetes, Linux, AWS, Terraform"
Cybersecurity Analyst 8,Monitor and defend systems from cyber threats.,"Network Security, Firewalls, SIEM, Python, Linux, Threat Detection"
Penetration Tester 8,Test applications and systems for vulnerabilities.,"Kali Linux, Metasploit, Burp Suite, Python, Web Security, Ethical Hacking"
Software Engineer - Backend 9,"Develop scalable backend systems, APIs, and databases.","Python, Java, SQL, REST APIs, AWS, Docker, Kubernetes"
Software Engineer - Frontend 9,Build user interfaces with modern frameworks.,"JavaScript, React, HTML, CSS, Redux, Webpack, UI/UX"
Full Stack Developer 9,Develop and maintain both frontend and backend systems.,"JavaScript, Node.js, React, SQL, REST APIs, Git, AWS"
Machine Learning Engineer 9,Build and deploy ML models for production systems.,"Python, TensorFlow, PyTorch, Machine Learning, Data Preprocessing, AWS, APIs"
Data Scientist 9,Analyze data and build predictive models.,"Python, Pandas, Scikit-learn, Statistics, SQL, Data Visualization, ML"
AI Researcher 9,Research and prototype new AI techniques.,"Deep Learning, Python, PyTorch, NLP, Reinforcement Learning, TensorFlow"
Cloud Engineer 9,Design and deploy cloud infrastructure.,"AWS, Terraform, Linux, Docker, Kubernetes, Networking, CI/CD"
DevOps Engineer 9,Automate deployments and maintain CI/CD pipelines.,"Jenkins, GitHub Actions, Docker, Kubernetes, Linux, AWS, Terraform"
Cybersecurity Analyst 9,Monitor and defend systems from cyber threats.,"Network Security, Firewalls, SIEM, Python, Linux, Threat Detection"
Penetration Tester 9,Test applications and systems for vulnerabilities.,"Kali Linux, Metasploit, Burp Suite, Python, Web Security, Ethical Hacking"
Software Engineer - Backend 10,"Develop scalable backend systems, APIs, and databases.","Python, Java, SQL, REST APIs, AWS, Docker, Kubernetes"
Software Engineer - Frontend 10,Build user interfaces with modern frameworks.,"JavaScript, React, HTML, CSS, Redux, Webpack, UI/UX"
Full Stack Developer 10,Develop and maintain both frontend and backend systems.,"JavaScript, Node.js, React, SQL, REST APIs, Git, AWS"
Machine Learning Engineer 10,Build and deploy ML models for production systems.,"Python, TensorFlow, PyTorch, Machine Learning, Data Preprocessing, AWS, APIs"
Data Scientist 10,Analyze data and build predictive models.,"Python, Pandas, Scikit-learn, Statistics, SQL, Data Visualization, ML"
AI Researcher 10,Research and prototype new AI techniques.,"Deep Learning, Python, PyTorch, NLP, Reinforcement Learning, TensorFlow"
Cloud Engineer 10,Design and deploy cloud infrastructure.,"AWS, Terraform, Linux, Docker, Kubernetes, Networking, CI/CD"
DevOps Engineer 10,Automate deployments and maintain CI/CD pipelines.,"Jenkins, GitHub Actions, Docker, Kubernetes, Linux, AWS, Terraform"
Cybersecurity Analyst 10,Monitor and defend systems from cyber threats.,"Network Security, Firewalls, SIEM, Python, Linux, Threat Detection"
Penetration Tester 10,Test applications and systems for vulnerabilities.,"Kali Linux, Metasploit, Burp Suite, Python, Web Security, Ethical Hacking"
